Surname,Count,Rank,Rate,USRank,USTotal,Source
#Last name / Surname,Number of occurrences among people self-identifying as Asian & Pacific Islander,Surname rank among Asians & Pacific Islanders,% of people with surname self-identifying as 'Asian & Pacific Islander',U.S. Rank,U.S. total occurrences,https://names.mongabay.com/data/asian_pacific_islander.html Derived from US Census Data
BROWN,5659,183,0.40%,4,1380145,
WEI,5631,184,93.30%,5310,6037,
GEORGE,5594,185,4.70%,227,119778,
SATO,5591,186,81.50%,4726,6864,
VILLANUEVA,5580,187,12.50%,703,44570,
FENG,5566,188,96.00%,5512,5797,
TA,5565,189,95.50%,5487,5829,
SAECHAO,5541,190,91.70%,5304,6043,
LIAO,5537,191,95.90%,5534,5771,
JOSEPH,5530,192,6.90%,356,80030,
MALIK,5470,193,52.70%,3172,10376,
LUM,5461,194,67.60%,4042,8074,
DELEON,5438,195,8.30%,460,65598,
CASTILLO,5394,196,3.30%,135,165473,
TOM,5358,197,55.60%,3405,9629,
JAIN,5349,198,89.20%,5348,5996,
LEW,5336,199,73.10%,4464,7304,
JANG,5316,200,92.00%,5531,5776,
HUNG,5309,201,86.00%,5199,6173,
FU,5294,202,94.10%,5658,5624,
WATANABE,5284,203,83.90%,5115,6295,
FAN,5275,204,92.50%,5587,5701,
AU,5238,205,84.80%,5195,6177,
HSIEH,5227,206,95.10%,5774,5494,
AMIN,5204,207,68.50%,4327,7601,
GAO,5204,207,96.30%,5866,5405,
YIP,5197,209,93.80%,5730,5542,
PHUNG,5191,210,96.40%,5882,5387,
CHING,5189,211,75.00%,4683,6919,
YUAN,5170,212,95.80%,5877,5394,
SUNG,5150,213,94.70%,5820,5439,
TSE,5144,214,94.80%,5837,5429,
SUH,5124,215,95.00%,5878,5391,
LUI,5105,216,90.80%,5662,5620,
CASTRO,5104,217,3.80%,194,133254,
PENG,5058,218,78.30%,4989,6460,
CHI,5025,219,87.60%,5561,5735,
GEE,5020,220,21.10%,1363,23826,
YIM,5019,221,92.50%,5841,5426,
JIN,4999,222,96.40%,6100,5186,
AN,4996,223,91.90%,5831,5435,
HUA,4991,224,94.50%,6005,5280,
KAO,4990,225,93.90%,5963,5316,
ABRAHAM,4955,226,19.30%,1250,25729,
VAN,4943,227,39.40%,2653,12531,
HUI,4886,228,92.50%,6003,5282,
JOSHI,4855,229,88.60%,5781,5478,
KWONG,4844,230,96.20%,6246,5037,
LUO,4843,231,97.10%,6291,4990,
PRASAD,4788,232,77.10%,5172,6212,
MARTIN,4776,233,0.70%,17,672711,
JONES,4770,234,0.40%,5,1362755,
CHOWDHURY,4766,235,82.70%,5539,5765,
DOMINGO,4757,236,60.00%,4140,7922,
MILLER,4737,237,0.40%,6,1127803,
PARIKH,4721,238,92.30%,6170,5113,
XIE,4698,239,97.60%,6505,4812,
SHI,4688,240,95.90%,6415,4886,
RODRIGUEZ,4665,241,0.60%,9,804240,
MARTINEZ,4650,242,0.60%,11,775072,
TORRES,4617,243,1.40%,50,325169,
DIEP,4617,243,95.60%,6489,4827,
YE,4602,245,96.20%,6535,4786,
HERNANDEZ,4591,246,0.60%,15,706372,
MIN,4566,247,90.80%,6254,5028,
BEGUM,4560,248,84.80%,5897,5375,
SUZUKI,4538,249,86.70%,6045,5233,
HANG,4530,250,83.80%,5865,5406,
ISLAM,4503,251,75.50%,5369,5967,
SANCHEZ,4457,252,1.00%,33,441242,
QUAN,4443,253,81.10%,5781,5478,
LA,4441,254,90.80%,6408,4892,
DU,4428,255,94.80%,6669,4670,
KWOK,4412,256,94.80%,6698,4652,
DAVIS,4289,257,0.40%,7,1072335,
YAO,4266,258,92.90%,6765,4592,
MEI,4260,259,88.90%,6526,4794,
TAKAHASHI,4240,260,86.30%,6378,4913,
SYED,4233,261,79.70%,5969,5310,
YEN,4218,262,90.20%,6661,4676,
LEI,4176,263,87.90%,6583,4749,
VARGHESE,4155,264,92.90%,6922,4472,
TSENG,4127,265,94.80%,7087,4352,
CAI,4113,266,96.00%,7178,4286,
CHOY,4110,267,80.30%,6166,5116,
NAM,4093,268,92.80%,7005,4412,
HOM,4076,269,81.30%,6262,5015,
LAW,4070,270,13.20%,1037,30900,
SIDDIQUI,4066,271,81.40%,6281,4994,
DAVID,4059,272,10.50%,818,38659,
SANTIAGO,4030,273,4.40%,302,90967,
WAN,4028,274,87.50%,6747,4605,
LING,4025,275,49.00%,3968,8221,
JOHN,3983,276,14.40%,1161,27643,
LONG,3978,277,1.80%,86,223494,
YIN,3913,278,92.20%,7245,4246,
TOLENTINO,3898,279,50.80%,4271,7679,
SHIH,3898,279,94.80%,7464,4113,
THACH,3897,281,83.70%,6688,4657,
GONG,3883,282,78.20%,6317,4967,
GANDHI,3867,283,91.70%,7292,4215,
KING,3863,284,0.90%,35,438986,
BAE,3852,285,95.30%,7590,4040,
ITO,3786,286,85.70%,6998,4417,
DENG,3775,287,91.60%,7444,4123,
MATSUMOTO,3774,288,83.50%,6858,4520,
RAMIREZ,3773,289,1.00%,42,388987,
GUAN,3771,290,92.30%,7513,4087,
SORIANO,3764,291,21.60%,1891,17418,
DELROSARIO,3755,292,61.10%,5219,6147,
MAO,3755,292,92.80%,7578,4047,
YAMADA,3744,294,83.80%,6928,4466,
DIZON,3720,295,84.40%,7012,4409,
SEO,3707,296,94.30%,7806,3929,
POON,3696,297,91.20%,7570,4051,
SANDHU,3663,298,85.20%,7161,4298,
ANDERSON,3659,299,0.50%,12,762394,
MAK,3658,300,85.40%,7184,4283,
LAO,3655,301,80.80%,6850,4523,
WILSON,3602,302,0.50%,10,783051,
IM,3589,303,93.90%,8007,3823,
ZENG,3584,304,96.60%,8219,3711,
TUNG,3541,305,91.00%,7891,3892,
CHON,3523,306,91.30%,7958,3857,
QURESHI,3505,307,78.40%,6921,4473,
SHIM,3499,308,86.40%,7574,4048,
KOO,3422,309,88.40%,7928,3870,
