Surname,Count,Rank,Rate,USRank,USTotal,Source
#Last name / Surname,Number of occurrences among people self-identifying as 'white',Surname rank among whites,% of people with surname self-identifying as 'white',U.S. Rank,U.S. total occurrences,https://names.mongabay.com/data/white.html Derived from US Census Data
LOVE,46446,410,59.30%,363,78323,
BRENNAN,46350,411,96.00%,642,48296,
CAIN,46339,412,80.10%,516,57873,
CLINE,46305,413,94.20%,628,49167,
HUFFMAN,46196,414,92.90%,620,49737,
BALLARD,46111,415,77.30%,503,59660,
COBB,45937,416,72.10%,472,63739,
KIRBY,45898,417,87.50%,577,52473,
ONEILL,45873,418,94.30%,633,48656,
FRANCIS,45824,419,63.90%,406,71723,
KOCH,45815,420,96.90%,657,47286,
LLOYD,45810,421,74.90%,493,61154,
RUSSO,45787,422,95.10%,645,48126,
CAREY,45702,423,83.20%,547,54924,
CALLAHAN,45577,424,91.30%,617,49925,
MOODY,45505,425,73.00%,479,62344,
MORROW,45411,426,81.60%,538,55664,
UNDERWOOD,45338,427,81.00%,535,55973,
YORK,45030,428,87.70%,596,51334,
POPE,44991,429,72.90%,486,61750,
BOYER,44929,430,90.60%,622,49601,
HUFF,44671,431,82.90%,564,53892,
MORTON,44644,432,75.90%,509,58788,
SUMMERS,44634,433,80.60%,541,55391,
BRIGGS,44629,434,77.90%,522,57297,
HORN,44572,435,86.70%,593,51380,
KANE,44470,436,91.60%,636,48527,
WALTON,44416,437,62.60%,414,70997,
PHELPS,44412,438,86.80%,598,51154,
RODRIGUEZ,44394,439,5.50%,9,804240,
DALTON,44342,440,88.40%,615,50166,
PATRICK,44287,441,76.00%,513,58257,
CONLEY,44152,442,81.50%,562,54194,
KIRK,44117,443,84.70%,582,52056,
CURRY,44041,444,61.70%,410,71344,
HANCOCK,43741,445,88.70%,625,49330,
FLOYD,43577,446,67.90%,469,64141,
MACDONALD,43516,447,95.10%,685,45782,
YODER,43409,448,98.10%,707,44245,
LOGAN,43318,449,67.10%,465,64576,
LINDSEY,43237,450,70.60%,492,61199,
NICHOLSON,43109,451,77.00%,534,55986,
JACOBSON,43101,452,96.00%,695,44874,
GARRISON,43066,453,85.30%,611,50482,
WALTER,42934,454,90.20%,651,47615,
KLINE,42826,455,95.40%,694,44900,
ALLISON,42753,456,83.00%,590,51504,
SKINNER,42727,457,81.40%,575,52490,
SILVA,42492,458,33.70%,214,126164,
CHASE,42475,459,83.70%,606,50777,
INGRAM,42459,460,63.70%,446,66665,
GIBBS,42409,461,67.80%,478,62514,
BURNETT,42104,462,72.80%,517,57859,
ATKINSON,42082,463,81.70%,592,51489,
DILLON,42016,464,86.00%,631,48833,
VINCENT,41647,465,82.30%,608,50628,
HEATH,41619,466,82.70%,614,50307,
BRUCE,41525,467,79.80%,583,52004,
CARSON,41458,468,74.30%,537,55821,
STEIN,41420,469,95.60%,720,43331,
CLARKE,41368,470,66.10%,476,62546,
BOOTH,41366,471,85.20%,635,48580,
GREER,41297,472,75.60%,552,54611,
RICH,41295,473,87.00%,654,47477,
ODONNELL,41287,474,96.50%,728,42802,
HINES,41214,475,60.50%,432,68145,
HOOD,41157,476,76.60%,566,53737,
BANKS,41008,477,41.30%,278,99294,
POOLE,40986,478,74.90%,549,54706,
BERGER,40899,479,93.90%,716,43556,
CAMERON,40834,480,77.90%,578,52439,
BLANKENSHIP,40521,481,95.00%,731,42663,
MCCLURE,40324,482,86.70%,672,46505,
MASSEY,40313,483,75.40%,568,53459,
EATON,40250,484,86.70%,676,46403,
BARRY,40184,485,89.20%,691,45044,
RANDALL,40090,486,76.40%,574,52495,
DAVENPORT,40080,487,73.90%,561,54206,
TYLER,40072,488,64.10%,477,62534,
PARRISH,40010,489,81.90%,632,48823,
MELTON,39988,490,82.30%,634,48594,
DYER,39970,491,85.80%,671,46574,
WHITAKER,39888,492,73.40%,558,54343,
STOUT,39883,493,93.50%,730,42669,
BOND,39856,494,78.20%,603,50980,
ROY,39730,495,79.90%,621,49725,
SNOW,39635,496,86.70%,687,45689,
WYATT,39621,497,77.90%,604,50874,
SAWYER,39592,498,82.50%,646,47979,
KNAPP,39575,499,95.90%,760,41267,
BAXTER,39525,500,82.60%,647,47857,
HENSON,39366,501,84.50%,669,46609,
NOLAN,39348,502,88.60%,705,44421,
BARTLETT,39294,503,92.40%,735,42512,
SCHAEFER,39285,504,96.60%,773,40663,
MARKS,39277,505,81.40%,644,48281,
STARK,39230,506,93.70%,751,41863,
NIELSEN,39215,507,95.60%,765,41007,
CLAYTON,39203,508,71.40%,548,54875,
GATES,39142,509,77.10%,607,50748,
SEXTON,39101,510,92.90%,747,42080,
TATE,39088,511,58.20%,440,67208,
TANNER,39014,512,84.10%,675,46412,
BASS,38995,513,71.80%,559,54296,
MCKEE,38964,514,89.50%,717,43555,
MATHEWS,38918,515,76.90%,609,50608,
HERMAN,38871,516,92.30%,746,42091,
SHIELDS,38792,517,78.30%,623,49556,
STEPHENSON,38739,518,83.00%,668,46662,
REILLY,38726,519,96.10%,780,40310,
HURST,38572,520,86.50%,702,44587,
JOHNS,38422,521,81.20%,656,47289,
VANCE,38175,522,83.40%,686,45763,
RICHARD,38160,523,73.20%,581,52138,
HOBBS,38154,524,80.80%,659,47220,
BUCK,38137,525,89.90%,737,42441,
KERR,38136,526,89.20%,729,42758,
GRIMES,38125,527,77.40%,626,49245,
BROWNING,37947,528,89.00%,732,42642,
KEITH,37945,529,81.20%,663,46747,
COLLIER,37872,530,69.60%,556,54414,
MCKENZIE,37832,531,68.70%,544,55084,
MORSE,37638,532,91.50%,762,41112,
CONRAD,37539,533,93.60%,786,40102,
HUTCHINSON,37482,534,78.40%,649,47809,
HOWE,37412,535,92.30%,775,40555,
SAVAGE,37359,536,77.20%,640,48367,
HAMPTON,37358,537,56.30%,451,66378,
BOYLE,37192,538,95.00%,802,39141,
DONOVAN,37145,539,94.60%,799,39270,
HEBERT,37056,540,92.00%,781,40283,
MAYER,36979,541,94.50%,803,39111,
COPELAND,36871,542,68.60%,565,53771,
NASH,36858,543,72.20%,601,51021,
BRIDGES,36822,544,70.50%,579,52260,
STAFFORD,36796,545,81.10%,689,45349,
GOLDEN,36731,546,76.80%,648,47839,
KENT,36659,547,86.10%,733,42597,
MCMAHON,36571,548,94.80%,819,38557,
ROACH,36559,549,82.20%,704,44454,
WILKINS,36556,550,65.20%,532,56068,
MAHONEY,36529,551,92.60%,795,39440,
PECK,36431,552,92.40%,796,39432,
HULL,36382,553,87.30%,754,41656,
LOPEZ,36360,554,5.90%,21,621536,
DOUGHERTY,36341,555,95.90%,829,37903,
BEARD,36331,556,77.10%,660,47128,
CONWAY,36300,557,83.70%,719,43395,
CASE,36259,558,93.50%,813,38759,
LEACH,36099,559,82.70%,714,43666,
BARR,36063,560,85.00%,738,42432,
LEBLANC,36049,561,88.10%,767,40923,
PENNINGTON,36047,562,89.40%,779,40339,
HODGE,35960,563,71.10%,610,50577,
HURLEY,35814,564,91.90%,808,38971,
ORR,35728,565,81.80%,714,43666,
FROST,35712,566,88.00%,774,40582,
STOKES,35670,567,60.80%,510,58687,
CHRISTIAN,35665,568,69.70%,597,51177,
GENTRY,35626,569,84.10%,741,42357,
KRUEGER,35615,570,97.10%,863,36694,
MEADOWS,35564,571,82.90%,725,42884,
FRIEDMAN,35559,572,96.50%,857,36833,
MCCONNELL,35502,573,90.60%,800,39203,
HUBER,35488,574,96.60%,861,36729,
WINTERS,35487,575,81.10%,712,43762,
WEEKS,35322,576,86.00%,764,41053,
GLOVER,35241,577,54.90%,468,64180,
HAHN,35148,578,91.60%,822,38354,
HUMPHREY,35142,579,74.00%,655,47470,
DUFFY,34974,580,92.10%,827,37962,
ATKINS,34967,581,70.30%,619,49754,
PITTMAN,34959,582,66.30%,573,52689,
MONROE,34876,583,65.20%,567,53475,
BRADFORD,34796,584,67.30%,586,51726,
FRY,34764,585,92.60%,838,37542,
SHANNON,34750,586,77.40%,693,44902,
BENDER,34698,587,90.20%,821,38464,
BUCKLEY,34686,588,85.20%,772,40706,
SLOAN,34632,589,81.90%,743,42281,
GILLESPIE,34600,590,83.60%,758,41393,
MOYER,34578,591,94.90%,871,36421,
PRESTON,34498,592,75.20%,681,45850,
MERRITT,34465,593,77.20%,701,44626,
FITZPATRICK,34413,594,87.10%,794,39501,
MCINTYRE,34363,595,81.20%,742,42335,
OCONNELL,34339,596,96.40%,886,35610,
MCDOWELL,34323,597,72.20%,652,47526,
SCHMITT,34203,598,96.80%,898,35326,
NOVAK,34167,599,96.80%,899,35282,
LESTER,34134,600,77.70%,709,43919,
